{'t': 377954570, 'u': 0.000000, 'cp': -0.012500, 'cv': -0.008941, 'tp': 8.346390, 'tv': 0.063585, 'ep': 12.042132, 'ev': -0.064530, 'dt': 72300}
{'t': 377954691, 'u': 0.000000, 'cp': -0.012500, 'cv': -0.008941, 'tp': 8.346390, 'tv': 0.128561, 'ep': 12.042132, 'ev': -0.129505, 'dt': 72324}
{'t': 377954812, 'u': 0.000000, 'cp': -0.012500, 'cv': -0.008941, 'tp': 8.345622, 'tv': -0.128776, 'ep': 12.041749, 'ev': -0.063432, 'dt': 72220}
{'t': 377954933, 'u': 0.000000, 'cp': -0.012500, 'cv': -0.008941, 'tp': 8.346006, 'tv': -0.000781, 'ep': 12.042516, 'ev': 0.062479, 'dt': 73076}

{'t': 434775273, 'u': 0.000000, 'cp': -0.012500, 'cv': -0.008941, 'tp': 11.467657, 'tv': -0.064404, 'ep': 12.036380, 'ev': -0.131507, 'dt': 72364}
{'t': 434775393, 'u': 0.000000, 'cp': -0.012500, 'cv': -0.008941, 'tp': 11.468040, 'tv': -0.065771, 'ep': 12.037148, 'ev': -0.004389, 'dt': 72472}
{'t': 434775514, 'u': 0.000000, 'cp': -0.012500, 'cv': -0.008941, 'tp': 11.468424, 'tv': 0.062658, 'ep': 12.036380, 'ev': -0.131697, 'dt': 72364}
{'t': 434775635, 'u': 0.000000, 'cp': -0.012500, 'cv': -0.008941, 'tp': 11.468040, 'tv': -0.000882, 'ep': 12.035613, 'ev': -0.258776, 'dt': 72404}
{'t': 434775755, 'u': 0.000000, 'cp': -0.012500, 'cv': -0.008941, 'tp': 11.468424, 'tv': 0.062672, 'ep': 12.037914, 'ev': 0.252684, 'dt': 72388}
{'t': 434775876, 'u': 0.000000, 'cp': -0.012500, 'cv': -0.008941, 'tp': 11.467657, 'tv': 0.000202, 'ep': 12.037148, 'ev': 0.190214, 'dt': 72312}
{'t': 434775997, 'u': 0.000000, 'cp': -0.012500, 'cv': -0.008941, 'tp': 11.468040, 'tv': -0.000812, 'ep': 12.036764, 'ev': -0.003037, 'dt': 72236}
{'t': 434776118, 'u': 0.000000, 'cp': -0.012500, 'cv': -0.008941, 'tp': 11.467657, 'tv': 0.000914, 'ep': 12.037148, 'ev': -0.004763, 'dt': 72968}
{'t': 434776238, 'u': 0.000000, 'cp': -0.012500, 'cv': -0.008941, 'tp': 11.468807, 'tv': 0.127076, 'ep': 12.036764, 'ev': -0.068433, 'dt': 72256}
{'t': 434776359, 'u': 0.000000, 'cp': -0.012500, 'cv': -0.008941, 'tp': 11.468807, 'tv': 0.127076, 'ep': 12.037148, 'ev': 0.059866, 'dt': 72380}
{'t': 434776479, 'u': 0.000000, 'cp': -0.012500, 'cv': -0.008941, 'tp': 11.468424, 'tv': 0.127574, 'ep': 12.037148, 'ev': 0.059866, 'dt': 72208}
{'t': 434776599, 'u': 0.000000, 'cp': -0.012500, 'cv': -0.008941, 'tp': 11.468424, 'tv': 0.064069, 'ep': 12.037148, 'ev': -0.003639, 'dt': 72216}
{'t': 434776721, 'u': 0.000000, 'cp': -0.012500, 'cv': -0.008941, 'tp': 11.469191, 'tv': 0.127683, 'ep': 12.037148, 'ev': 0.059989, 'dt': 72312}
{'t': 434776841, 'u': 0.000000, 'cp': -0.012500, 'cv': -0.008941, 'tp': 11.469191, 'tv': 0.127683, 'ep': 12.035613, 'ev': -0.318773, 'dt': 72800}
{'t': 434776962, 'u': 0.000000, 'cp': -0.012500, 'cv': -0.008941, 'tp': 11.468807, 'tv': 0.064030, 'ep': 12.035996, 'ev': -0.127830, 'dt': 72276}
{'t': 434777083, 'u': 0.000000, 'cp': -0.012500, 'cv': -0.008941, 'tp': 11.467657, 'tv': -0.062740, 'ep': 12.037148, 'ev': 0.062726, 'dt': 72488}
{'t': 434777203, 'u': 0.000000, 'cp': -0.012500, 'cv': -0.008941, 'tp': 11.466890, 'tv': -0.253398, 'ep': 12.037148, 'ev': 0.126469, 'dt': 72408}
{'t': 434777324, 'u': 0.000000, 'cp': -0.012500, 'cv': -0.008941, 'tp': 11.467657, 'tv': 0.000881, 'ep': 12.037148, 'ev': 0.126469, 'dt': 72296}
{'t': 434777444, 'u': 0.000000, 'cp': -0.012500, 'cv': -0.008941, 'tp': 11.468424, 'tv': 0.191721, 'ep': 12.037148, 'ev': 0.126469, 'dt': 72268}
