1.7x,1.7t,1.6x,1.6t,1.5x,1.5t,1.4x,1.4t,1.3x,1.3t,1.2x,1.2t
0,0.572695,0,0.572351,0.0001171875,0.572113,0,0.572301,0.000087890625,0.57198,0,0.57259
0.000029296875,0.582913,0,0.582554,0.0001171875,0.582335,0,0.582518,0.000087890625,0.582192,0,0.582827
0.000029296875,0.593151,0,0.592768,0.000146484375,0.592541,0,0.592722,0.000087890625,0.592391,0,0.593032
0.000029296875,0.603357,0,0.602989,0.000146484375,0.602747,0.000029296875,0.602934,0.000087890625,0.602596,0,0.60325
0.00005859375,0.613574,0,0.613193,0.000146484375,0.612956,0.000029296875,0.613173,0.0001171875,0.612833,0,0.61352
0.00005859375,0.623797,0,0.623403,0.000146484375,0.623179,0.000029296875,0.623374,0.0001171875,0.623037,0,0.623723
0.000087890625,0.633998,0,0.633617,0.00017578125,0.633387,0.000029296875,0.633591,0.0001171875,0.633263,0,0.633937
0.000087890625,0.644218,0,0.643821,0.00017578125,0.643591,0.000029296875,0.643796,0.0001171875,0.643473,0,0.644204
0.0001171875,0.654437,0,0.654033,0.00017578125,0.653805,0.00005859375,0.653998,0.0001171875,0.653674,0,0.654412
0.0001171875,0.664641,0,0.664247,0.00017578125,0.664005,0.00005859375,0.664215,0.0001171875,0.663883,0,0.664625
0.00017578125,0.674855,0,0.674454,0.00017578125,0.674211,0.00005859375,0.674456,0.0001171875,0.674152,0,0.674906
0.000263671875,0.685116,0,0.68469,0.00017578125,0.684426,0.00005859375,0.684667,0.0001171875,0.684355,0,0.685115
0.00064453125,0.695316,0,0.6949,0.000205078125,0.694655,0.00005859375,0.694894,0.0001171875,0.694566,0.000029296875,0.695328
0.0015234375,0.705522,0,0.705101,0.000234375,0.704864,0.00005859375,0.705123,0.000146484375,0.704829,0.000029296875,0.705595
0.002607421875,0.715795,0,0.715308,0.000263671875,0.715072,0.00005859375,0.715332,0.000146484375,0.715027,0.000029296875,0.715799
0.003955078125,0.725995,0,0.72552,0.00029296875,0.725277,0.00005859375,0.725546,0.000146484375,0.725242,0.00005859375,0.726008
0.005361328125,0.73621,0,0.735727,0.000322265625,0.735484,0.00005859375,0.735821,0.000146484375,0.735517,0.00005859375,0.736267
0.00685546875,0.746497,0,0.745925,0.000556640625,0.745705,0.00005859375,0.746024,0.00017578125,0.745716,0.000087890625,0.746475
0.0084375,0.756706,0,0.756152,0.001318359375,0.755921,0.00005859375,0.756248,0.00017578125,0.75593,0.000087890625,0.756683
0.0099609375,0.766909,0,0.766356,0.00234375,0.766127,0.000087890625,0.766479,0.00017578125,0.766201,0.000087890625,0.766941
0.01154296875,0.777197,0,0.776558,0.003515625,0.776359,0.000087890625,0.776678,0.00017578125,0.776398,0.000087890625,0.777141
0.013125,0.787397,0,0.786765,0.004716796875,0.786559,0.000087890625,0.786896,0.00017578125,0.786609,0.000087890625,0.787351
0.01461914063,0.797605,0,0.796991,0.006123046875,0.796756,0.000087890625,0.797129,0.00017578125,0.796881,0.0001171875,0.797619
0.01640625,0.807875,0,0.80719,0.007470703125,0.806975,0.0001171875,0.80733,0.000205078125,0.807078,0.000087890625,0.807829
0.0183984375,0.818076,0,0.817414,0.0087890625,0.817206,0.0001171875,0.817553,0.000205078125,0.817292,0.000087890625,0.818034
0.02053710938,0.828279,0,0.827634,0.0103125,0.827409,0.0001171875,0.827771,0.000234375,0.827557,0.000087890625,0.828303
0.02314453125,0.83856,0,0.837838,0.01168945313,0.837624,0.0001171875,0.837975,0.000263671875,0.837762,0.000087890625,0.838501
0.02604492188,0.848762,0,0.84805,0.01309570313,0.847844,0.0001171875,0.848182,0.000322265625,0.847969,0.0001171875,0.848718
0.02876953125,0.858971,0,0.858324,0.01467773438,0.858046,0.0001171875,0.858452,0.000439453125,0.858246,0.0001171875,0.858994
0.03254882813,0.869236,0,0.868525,0.01640625,0.868268,0.0001171875,0.868654,0.000908203125,0.868449,0.00017578125,0.869202
0.03624023438,0.879433,0,0.878754,0.01810546875,0.878491,0.0001171875,0.878869,0.001875,0.878674,0.00029296875,0.879413
0.03966796875,0.889649,0,0.888979,0.02009765625,0.888696,0.000146484375,0.889129,0.002958984375,0.888913,0.000673828125,0.889693
0.04333007813,0.899918,0,0.899188,0.02229492188,0.898913,0.000146484375,0.899332,0.00427734375,0.899117,0.00158203125,0.899909
0.046875,0.91013,0,0.909397,0.02458007813,0.909139,0.000146484375,0.909546,0.005537109375,0.909327,0.0024609375,0.910114
0.05024414063,0.920339,0,0.919653,0.02709960938,0.919346,0.00017578125,0.919816,0.006796875,0.9196,0.003515625,0.920392
0.053671875,0.930633,0,0.929855,0.02953125,0.929559,0.000205078125,0.930018,0.00814453125,0.929798,0.00451171875,0.930592
0.05727539063,0.94084,0,0.940078,0.03205078125,0.939815,0.000234375,0.940231,0.0092578125,0.940017,0.0055078125,0.940803
0.06055664063,0.951049,0,0.950306,0.0346875,0.950021,0.000263671875,0.950497,0.010546875,0.950292,0.00662109375,0.951064
0.06407226563,0.961335,0,0.960514,0.03711914063,0.960241,0.00029296875,0.960681,0.01189453125,0.960496,0.00791015625,0.961265
0.06764648438,0.971545,0,0.97072,0.03978515625,0.970503,0.000322265625,0.970888,0.01306640625,0.970707,0.008994140625,0.971476
0.07122070313,0.981757,0,0.980977,0.04233398438,0.980706,0.00041015625,0.981165,0.01444335938,0.980978,0.0103125,0.981745
0.07517578125,0.992097,0,0.991185,0.04470703125,0.990924,0.00076171875,0.991373,0.01596679688,0.991186,0.01166015625,0.991947
0.07942382813,1.002294,0.000029296875,1.001409,0.04725585938,1.001186,0.00169921875,1.001578,0.01754882813,1.0014,0.01291992188,1.002157
0.0837890625,1.012494,0,1.011642,0.04989257813,1.011395,0.002841796875,1.011872,0.01927734375,1.011677,0.01435546875,1.012426
0.08874023438,1.022767,0.000029296875,1.021849,0.0525,1.021608,0.004248046875,1.022085,0.0212109375,1.021877,0.01584960938,1.022623
0.09383789063,1.032967,0.000029296875,1.032058,0.05537109375,1.031877,0.005625,1.032297,0.02314453125,1.032095,0.01728515625,1.032827
0.09861328125,1.043165,0.000029296875,1.04234,0.05833007813,1.042089,0.007001953125,1.042501,0.02534179688,1.04236,0.01892578125,1.043062
0.1034179688,1.053458,0.000029296875,1.052544,0.06125976563,1.052296,0.008466796875,1.052703,0.027421875,1.052562,0.02059570313,1.053266
0.10828125,1.063666,0.000029296875,1.062763,0.06459960938,1.062569,0.009873046875,1.062931,0.02947265625,1.06277,0.02223632813,1.063472
0.1127050781,1.073875,0.000029296875,1.073032,0.06799804688,1.072776,0.01127929688,1.073141,0.03158203125,1.07304,0.02390625,1.07381
0.1175683594,1.084163,0.00005859375,1.083227,0.07133789063,1.08298,0.01283203125,1.083363,0.03348632813,1.083244,0.02557617188,1.084012
0.1222851563,1.094367,0.00005859375,1.093428,0.07497070313,1.09332,0.01432617188,1.093586,0.03524414063,1.093453,0.02704101563,1.094221
0.1266503906,1.104585,0.00005859375,1.103659,0.07848632813,1.103534,0.0160546875,1.103791,0.03706054688,1.103726,0.02841796875,1.104464
0.1313085938,1.114875,0.000087890625,1.113877,0.08170898438,1.113746,0.01775390625,1.114009,0.03884765625,1.113927,0.02979492188,1.114671
0.1359375,1.125076,0.0001171875,1.124077,0.08516601563,1.123972,0.01965820313,1.124249,0.040546875,1.124129,0.03111328125,1.124873
0.1404785156,1.135287,0.000146484375,1.134296,0.0884765625,1.134174,0.021796875,1.134458,0.042421875,1.13442,0.03231445313,1.135145
0.1456054688,1.145569,0.00017578125,1.144504,0.0915234375,1.14438,0.024140625,1.144684,0.04435546875,1.144625,0.03369140625,1.145347
0.1509667969,1.155768,0.0003515625,1.154706,0.09495117188,1.154677,0.0266015625,1.154905,0.04637695313,1.154847,0.03498046875,1.155554
0.1562109375,1.165984,0.0009375,1.16493,0.09849609375,1.164907,0.02938476563,1.165112,0.04872070313,1.165128,0.03638671875,1.165772
0.1618945313,1.176254,0.001904296875,1.17513,0.1020117188,1.175112,0.032109375,1.175333,0.05118164063,1.175331,0.03796875,1.175987
0.167578125,1.186458,0.0028125,1.18534,0.1058789063,1.185326,0.03477539063,1.185565,0.0535546875,1.185533,0.0394921875,1.186186
0.1729101563,1.196669,0.00404296875,1.195579,0.1098632813,1.195549,0.0375,1.195775,0.0561328125,1.195823,0.0411328125,1.196397
0.178828125,1.206937,0.00533203125,1.205804,0.113671875,1.205748,0.04025390625,1.205994,0.0587109375,1.206023,0.04265625,1.206623
